,loss,accuracy
,,
0,1.019403756,0.35546875
,,
1,1.015708908,0.376953125
,,
2,1.012005351,0.396484375
,,
3,1.008363451,0.416015625
,,
4,1.004812444,0.43359375
,,
5,1.001314768,0.453125
,,
6,0.99792983,0.474609375
,,
7,0.994708692,0.490234375
,,
8,0.991312396,0.5078125
,,
9,0.98805689,0.521484375
,,
10,0.984620391,0.53515625
,,
11,0.981181655,0.541015625
,,
12,0.977572147,0.55078125
,,
13,0.974001061,0.564453125
,,
14,0.970415662,0.568359375
,,
15,0.966595564,0.58203125
,,
16,0.962990801,0.58203125
,,
17,0.958950112,0.580078125
,,
18,0.955095499,0.591796875
,,
19,0.951057738,0.59375
